Cluster Label,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue,21th Most Common Venue,22th Most Common Venue,23th Most Common Venue,24th Most Common Venue,25th Most Common Venue
0,Cycle Studio,Arcade,Theater,Spanish Restaurant,Park,Laundry Service,Coffee Shop,Beer Bar,Gay Bar,Burger Joint,Wine Shop,Flower Shop,Fondue Restaurant,Falafel Restaurant,Food Service,Farmers Market,Food Court,Food & Drink Shop,Food,Fast Food Restaurant,Filipino Restaurant,Film Studio,Financial or Legal Service,Exhibit,Fish Market
1,Bar,Coffee Shop,American Restaurant,Italian Restaurant,Cocktail Bar,Pizza Place,Music Venue,Mexican Restaurant,Southern / Soul Food Restaurant,Park,Asian Restaurant,Diner,Theater,Art Gallery,Pub,Café,Seafood Restaurant,Bakery,Gym,Gay Bar,Taco Place,Sushi Restaurant,Nightclub,Gastropub,Sandwich Place
2,Chinese Restaurant,Fast Food Restaurant,Bus Stop,Pizza Place,Fish Market,Eye Doctor,Falafel Restaurant,Farmers Market,Filipino Restaurant,Film Studio,Financial or Legal Service,Yoga Studio,Floating Market,Exhibit,Fondue Restaurant,Food,Food & Drink Shop,Food Court,Food Service,Food Truck,Flower Shop,Event Space,Fountain,Ethiopian Restaurant,Deli / Bodega
3,Convenience Store,Sandwich Place,Bar,Pharmacy,Grocery Store,Discount Store,Video Store,Pizza Place,Supermarket,Cosmetics Shop,Furniture / Home Store,Chinese Restaurant,Restaurant,Fried Chicken Joint,Coffee Shop,Gas Station,American Restaurant,Thai Restaurant,Intersection,Fast Food Restaurant,Art Gallery,Asian Restaurant,Bakery,Korean Restaurant,Arts & Crafts Store
4,Park,Art Gallery,Food Truck,Eye Doctor,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Filipino Restaurant,Film Studio,Financial or Legal Service,Fish Market,Floating Market,Event Space,Flower Shop,Fondue Restaurant,Food,Food & Drink Shop,Food Court,Food Service,Football Stadium,Exhibit,Yoga Studio,French Restaurant,Ethiopian Restaurant,Deli / Bodega
5,Restaurant,American Restaurant,Bus Stop,Yoga Studio,Floating Market,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Filipino Restaurant,Film Studio,Financial or Legal Service,Fish Market,Fondue Restaurant,Flower Shop,Exhibit,Food,Food & Drink Shop,Food Court,Food Service,Food Truck,Football Stadium,Eye Doctor,Ethiopian Restaurant,Event Space,French Restaurant
6,Clothing Store,Cosmetics Shop,American Restaurant,Italian Restaurant,Coffee Shop,Shoe Store,Pizza Place,Hotel,Mexican Restaurant,Sandwich Place,Accessories Store,Seafood Restaurant,Spa,Café,Kids Store,Jewelry Store,Women's Store,Plaza,Shopping Mall,Bakery,Steakhouse,Mediterranean Restaurant,Sporting Goods Shop,Gym,Fast Food Restaurant
7,Seafood Restaurant,Event Space,Boat or Ferry,Fish Market,Bar,Donut Shop,Food & Drink Shop,Food Court,Food,Fondue Restaurant,Flower Shop,Food Service,Floating Market,Food Truck,Financial or Legal Service,Film Studio,Filipino Restaurant,Fast Food Restaurant,Farmers Market,Falafel Restaurant,Football Stadium,Eye Doctor,Yoga Studio,Exhibit,French Restaurant
8,Beach,Trail,Spa,Surf Spot,Historic Site,Yoga Studio,Fish Market,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Filipino Restaurant,Film Studio,Financial or Legal Service,Flower Shop,Floating Market,Exhibit,Fondue Restaurant,Food,Food & Drink Shop,Food Court,Food Service,Food Truck,Eye Doctor,Ethiopian Restaurant,Event Space
9,Chinese Restaurant,Spa,Fish Market,Exhibit,Eye Doctor,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Filipino Restaurant,Film Studio,Financial or Legal Service,Yoga Studio,Fountain,Flower Shop,Fondue Restaurant,Food,Food & Drink Shop,Food Court,Food Service,Food Truck,Floating Market,Event Space,Ethiopian Restaurant,Escape Room,Dance Studio
10,Business Service,Film Studio,Flower Shop,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Filipino Restaurant,Financial or Legal Service,Fish Market,Floating Market,Yoga Studio,Cycle Studio,Fondue Restaurant,Food,Food & Drink Shop,Food Court,Food Service,Food Truck,Football Stadium,Fountain,Eye Doctor,Exhibit,Event Space,Ethiopian Restaurant,Deli / Bodega
11,History Museum,Coffee Shop,Library,College Gym,Museum,Bookstore,Scenic Lookout,Hotel,Music Venue,American Restaurant,Café,Fast Food Restaurant,Bagel Shop,Food Truck,Dumpling Restaurant,Filipino Restaurant,Diner,Food Service,Discount Store,Food Court,Food & Drink Shop,Distillery,Food,Fondue Restaurant,Dive Bar
12,Fried Chicken Joint,Hotel,Ice Cream Shop,American Restaurant,Pet Store,Furniture / Home Store,Steakhouse,Indian Restaurant,Hookah Bar,Ethiopian Restaurant,Exhibit,Eye Doctor,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Filipino Restaurant,Film Studio,Financial or Legal Service,Fish Market,Floating Market,Flower Shop,Fondue Restaurant,Food,Food & Drink Shop,Food Court
13,Brewery,Bar,Pizza Place,Coffee Shop,Gym,Restaurant,Sports Bar,Seafood Restaurant,Eastern European Restaurant,Hotel,Sculpture Garden,Performing Arts Venue,Sporting Goods Shop,Park,BBQ Joint,Donut Shop,Lounge,Fast Food Restaurant,Sports Club,Pharmacy,Dive Bar,Gym / Fitness Center,Café,Market,Salon / Barbershop
14,Grocery Store,Burger Joint,Home Service,American Restaurant,Pizza Place,Video Store,Salon / Barbershop,Coffee Shop,Pharmacy,Yoga Studio,Filipino Restaurant,Exhibit,Eye Doctor,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Fish Market,Film Studio,Financial or Legal Service,Floating Market,Flower Shop,Fondue Restaurant,Food,Food & Drink Shop,Food Court
15,History Museum,Bus Stop,Deli / Bodega,Clothing Store,Market,American Restaurant,Salad Place,Financial or Legal Service,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Filipino Restaurant,Film Studio,Floating Market,Fish Market,Exhibit,Flower Shop,Fondue Restaurant,Food,Food & Drink Shop,Food Court,Food Service,Food Truck,Eye Doctor,Ethiopian Restaurant
16,Pizza Place,Sandwich Place,Chinese Restaurant,American Restaurant,Café,Mexican Restaurant,Coffee Shop,Bakery,Gym,Park,Convenience Store,Deli / Bodega,Restaurant,Grocery Store,Seafood Restaurant,Bar,Indian Restaurant,BBQ Joint,Thai Restaurant,Liquor Store,Spa,Salon / Barbershop,Italian Restaurant,Fast Food Restaurant,Discount Store
